+---------------------+-----------------------------+-------------------------------------------------------------+-----------------------------+------------------------------------------+-----------------------------+------------------------------------------+
| id                  | nombre requisito            | descripción                                                 | entradas                    | proceso                                  | salidas                     | criterios de aceptación                  |
+---------------------+-----------------------------+-------------------------------------------------------------+-----------------------------+------------------------------------------+-----------------------------+------------------------------------------+
| RF-BCK-DAS-004   | Propiedades activas           | Indicar el número de propiedades activas en la plataforma.              | -                           | Calcular y mostrar cantidad               | Número visible              | Dato actualizado y correcto              |
| RF-BCK-DAS-005   | Tiempo promedio venta/arriendo| Calcular y mostrar tiempo promedio desde publicación hasta cierre.      | Fechas publicación/cierre    | Calcular promedio                         | Tiempo promedio visible     | Cálculo correcto y actualizado           |
| RF-BCK-DAS-006   | Ranking agentes               | Presentar ranking de los top agentes del mes.                           | Datos agentes                | Calcular y mostrar ranking                 | Ranking visible             | Ranking actualizado y correcto           |
| RF-BCK-DAS-007   | Gráfico por tipo propiedad    | Mostrar gráfico de distribución por tipo de propiedad.                  | Datos propiedades            | Calcular y renderizar gráfico              | Gráfico visible             | Gráfico correcto y actualizado           |
| RF-BCK-DAS-008   | Gráfico ingresos por mes      | Visualizar gráfico de ingresos por mes del último año.                  | Datos ingresos               | Calcular y renderizar gráfico              | Gráfico visible             | Gráfico correcto y actualizado           |
| RF-BCK-DAS-009   | Comparación ingresos anual    | Permitir comparación de ingresos con el año anterior.                   | Datos ingresos               | Calcular y mostrar comparación             | Comparación visible         | Comparación correcta y actualizada       |
| RF-BCK-PRO-012   | Asignar agente a propiedad    | Permitir asignar un agente a una propiedad (solo administradores).      | Propiedad, agente            | Procesar asignación                        | Propiedad asignada          | Solo admin puede asignar                  |
| RF-BCK-PRO-013   | Visibilidad propiedades agente| El agente solo puede ver propiedades asignadas.                         | Sesión agente                | Filtrar propiedades por agente             | Listado filtrado            | Solo ve sus propiedades                   |
| RF-BCK-PRO-014   | Visibilidad propiedades admin | El administrador puede ver todas las propiedades.                       | Sesión admin                 | Mostrar todas las propiedades              | Listado completo            | Admin ve todas                            |
| RF-BCK-PRO-015   | Aprobación de propiedades     | Solo admin puede aprobar propiedades, agente puede pre-aprobar.         | Estado propiedad             | Cambiar estado según rol                   | Estado actualizado          | Flujo de aprobación correcto              |
